date,open,high,low,close,volume
1783967224,0.01,0.01,0.01,0.01,0
1783967524,0.01,0.01,0.01,0.01,0
1783967824,0.01,0.01,0.01,0.01,0
1783968124,0.01,0.01,0.01,0.01,0
1783968424,0.01,0.01,0.01,0.01,0
1783968724,0.01,0.01,0.01,0.01,0
1783969024,0.01,0.01,0.01,0.01,0
1783969324,0.01,0.01,0.01,0.01,0
1783969624,0.01,0.01,0.01,0.01,0
1783969924,0.01,0.01,0.01,0.01,0
1783970224,0.01,0.01,0.01,0.01,0
1783970524,0.01,0.01,0.01,0.01,0
1783970824,0.01,0.01,0.01,0.01,0
1783971124,0.01,0.01,0.01,0.01,0
1783971424,0.01,0.01,0.01,0.01,0
1783971724,0.01,0.01,0.01,0.01,0
1783972024,0.01,0.01,0.01,0.01,0
1783972324,0.01,0.01,0.01,0.01,0
1783972624,0.01,0.01,0.01,0.01,0
1783972924,0.01,0.01,0.01,0.01,0
1783973224,0.01,0.01,0.01,0.01,0
1783973524,0.01,0.01,0.01,0.01,0
1783973824,0.01,0.01,0.01,0.01,0
1783974124,0.01,0.01,0.01,0.01,0
1783974424,0.01,0.01,0.01,0.01,0
1783974724,0.01,0.01,0.01,0.01,0
1783975024,0.01,0.01,0.01,0.01,0
1783975324,0.01,0.01,0.01,0.01,0
1783975624,0.01,0.01,0.01,0.01,0
1783975924,0.01,0.01,0.01,0.01,0
1783976224,0.01,0.01,0.01,0.01,0
1783976524,0.01,0.01,0.01,0.01,0
1783976824,0.01,0.01,0.01,0.01,0
1783977124,0.01,0.01,0.01,0.01,0
1783977424,0.01,0.01,0.01,0.01,0
1783977724,0.01,0.01,0.01,0.01,0
1783978024,0.01,0.01,0.01,0.01,0
1783978324,0.01,0.01,0.01,0.01,0
1783978624,0.01,0.01,0.01,0.01,0
1783978924,0.01,0.01,0.01,0.01,0
1783979224,0.01,0.01,0.01,0.01,0
1783979524,0.01,0.01,0.01,0.01,0
1783979824,0.01,0.01,0.01,0.01,0
1783980124,0.01,0.01,0.01,0.01,0
1783980424,0.01,0.01,0.01,0.01,0
1783980724,0.01,0.01,0.01,0.01,0
1783981024,0.01,0.01,0.01,0.01,0
1783981324,0.01,0.01,0.01,0.01,0
1783981624,0.01,0.01,0.01,0.01,0
1783981924,0.01,0.01,0.01,0.01,0
1783982224,0.01,0.01,0.01,0.01,0
1783982524,0.01,0.01,0.01,0.01,0
1783982824,0.01,0.01,0.01,0.01,0
1783983124,0.01,0.01,0.01,0.01,0
1783983424,0.01,0.01,0.01,0.01,0
1783983724,0.01,0.01,0.01,0.01,0
1783984024,0.01,0.01,0.01,0.01,0
1783984324,0.01,0.01,0.01,0.01,0
1783984624,0.01,0.01,0.01,0.01,0
1783984924,0.01,0.01,0.01,0.01,0
1783985224,0.01,0.01,0.01,0.01,0
1783985524,0.01,0.01,0.01,0.01,0
1783985824,0.01,0.01,0.01,0.01,0
1783986124,0.01,0.01,0.01,0.01,0
1783986424,0.01,0.01,0.01,0.01,0
1783986724,0.01,0.01,0.01,0.01,0
1783987024,0.01,0.01,0.01,0.01,0
1783987324,0.01,0.01,0.01,0.01,0
1783987624,0.01,0.01,0.01,0.01,0
1783987924,0.01,0.01,0.01,0.01,0
1783988224,0.01,0.01,0.01,0.01,0
1783988524,0.01,0.01,0.01,0.01,0
1783988824,0.01,0.01,0.01,0.01,0
1783989124,0.01,0.01,0.01,0.01,0
1783989424,0.01,0.01,0.01,0.01,0
1783989724,0.01,0.01,0.01,0.01,0
1783990024,0.01,0.01,0.01,0.01,0
1783990324,0.01,0.01,0.01,0.01,0
1783990624,0.01,0.01,0.01,0.01,0
1783990924,0.01,0.01,0.01,0.01,0
1783991224,0.01,0.01,0.01,0.01,0
1783991524,0.01,0.01,0.01,0.01,0
1783991824,0.01,0.01,0.01,0.01,0
1783992124,0.01,0.01,0.01,0.01,0
1783992424,0.01,0.01,0.01,0.01,0
1783992724,0.01,0.01,0.01,0.01,0
1783993024,0.01,0.01,0.01,0.01,0
1783993324,0.01,0.01,0.01,0.01,0
1783993624,0.01,0.01,0.01,0.01,0
1783993924,0.01,0.01,0.01,0.01,0
1783994224,0.01,0.01,0.01,0.01,0
1783994524,0.01,0.01,0.01,0.01,0
1783994824,0.01,0.01,0.01,0.01,0
1783995124,0.01,0.01,0.01,0.01,0
1783995424,0.01,0.01,0.01,0.01,0
1783995724,0.01,0.01,0.01,0.01,0
1783996024,0.01,0.01,0.01,0.01,0
1783996324,0.01,0.01,0.01,0.01,0
1783996624,0.01,0.01,0.01,0.01,0
1783996924,0.01,0.01,0.01,0.01,0
1783997224,0.01,0.01,0.01,0.01,0
1783997524,0.01,0.01,0.01,0.01,0
1783997824,0.01,0.01,0.01,0.01,0
1783998124,0.01,0.01,0.01,0.01,0
1783998424,0.01,0.01,0.01,0.01,0
1783998724,0.01,0.01,0.01,0.01,0
1783999024,0.01,0.01,0.01,0.01,0
1783999324,0.01,0.01,0.01,0.01,0
1783999624,0.01,0.01,0.01,0.01,0
1783999924,0.01,0.01,0.01,0.01,0
1784000224,0.01,0.01,0.01,0.01,0
1784000524,0.01,0.01,0.01,0.01,0
1784000824,0.01,0.01,0.01,0.01,0
1784001124,0.01,0.01,0.01,0.01,0
1784001424,0.01,0.01,0.01,0.01,0
1784001724,0.01,0.01,0.01,0.01,0
1784002024,0.01,0.01,0.01,0.01,0
1784002324,0.01,0.01,0.01,0.01,0
1784002624,0.01,0.01,0.01,0.01,0
1784002924,0.01,0.01,0.01,0.01,0
1784003224,0.01,0.01,0.01,0.01,0
1784003524,0.01,0.01,0.01,0.01,0
1784003824,0.01,0.01,0.01,0.01,0
1784004124,0.01,0.01,0.01,0.01,0
1784004424,0.01,0.01,0.01,0.01,0
1784004724,0.01,0.01,0.01,0.01,0
1784005024,0.01,0.01,0.01,0.01,0
1784005324,0.01,0.01,0.01,0.01,0
1784005624,0.01,0.01,0.01,0.01,0
1784005924,0.01,0.01,0.01,0.01,0
1784006224,0.01,0.01,0.01,0.01,0
1784006524,0.01,0.01,0.01,0.01,0
1784006824,0.01,0.01,0.01,0.01,0
1784007124,0.01,0.01,0.01,0.01,0
1784007424,0.01,0.01,0.01,0.01,0
1784007724,0.01,0.01,0.01,0.01,0
1784008024,0.01,0.01,0.01,0.01,0
1784008324,0.01,0.01,0.01,0.01,0
1784008624,0.01,0.01,0.01,0.01,0
1784008924,0.01,0.01,0.01,0.01,0
1784009224,0.01,0.01,0.01,0.01,0
1784009524,0.01,0.01,0.01,0.01,0
1784009824,0.01,0.01,0.01,0.01,0
1784010124,0.01,0.01,0.01,0.01,0
1784010424,0.01,0.01,0.01,0.01,0
1784010724,0.01,0.01,0.01,0.01,0
1784011024,0.01,0.01,0.01,0.01,0
1784011324,0.01,0.01,0.01,0.01,0
1784011624,0.01,0.01,0.01,0.01,0
1784011924,0.01,0.01,0.01,0.01,0
1784012224,0.01,0.01,0.01,0.01,0
1784012524,0.01,0.01,0.01,0.01,0
1784012824,0.01,0.01,0.01,0.01,0
1784013124,0.01,0.01,0.01,0.01,0
1784013424,0.01,0.01,0.01,0.01,0
1784013724,0.01,0.01,0.01,0.01,0
1784014024,0.01,0.01,0.01,0.01,0
1784014324,0.01,0.01,0.01,0.01,0
1784014624,0.01,0.01,0.01,0.01,0
1784014924,0.01,0.01,0.01,0.01,0
1784015224,0.01,0.01,0.01,0.01,0
1784015524,0.01,0.01,0.01,0.01,0
1784015824,0.01,0.01,0.01,0.01,0
1784016124,0.01,0.01,0.01,0.01,0
1784016424,0.01,0.01,0.01,0.01,0
1784016724,0.01,0.01,0.01,0.01,0
1784017024,0.01,0.01,0.01,0.01,0
1784017324,0.01,0.01,0.01,0.01,0
1784017624,0.01,0.01,0.01,0.01,0
1784017924,0.01,0.01,0.01,0.01,0
1784018224,0.01,0.01,0.01,0.01,0
